key,Author,Count
写花,韦应物,1
写花,吴文英,1
写花,雍裕之,1
写花,乔吉,1
写花,洪咨夔,1
梅花,毛泽东,1
梅花,陆游,4
梅花,王安石,2
梅花,王冕,2
梅花,卢钺,2
梅花,王维,1
梅花,林逋,1
梅花,佚名,1
梅花,李清照,7
梅花,陆凯,1
梅花,张谓,1
梅花,黄蘖禅师,1
梅花,郑燮,1
梅花,李商隐,2
梅花,苏轼,6
梅花,崔道融,1
梅花,杜耒,1
梅花,王庭筠,1
梅花,鲍照,1
梅花,齐己,1
梅花,姜夔,2
梅花,谢枋得,1
梅花,黄庭坚,1
梅花,辛弃疾,5
梅花,张嵲,1
梅花,柳宗元,1
梅花,王十朋,1
梅花,何逊,1
梅花,晁补之,1
梅花,陈亮,2
梅花,晁冲之,1
梅花,黄升,1
梅花,冯延巳,1
梅花,周邦彦,2
梅花,张孝祥,2
梅花,范成大,1
梅花,李煜,1
梅花,高启,1
梅花,曹雪芹,4
梅花,刘克庄,3
梅花,纳兰性德,1
梅花,白玉蟾,1
梅花,郑域,1
梅花,卢照邻,1
梅花,曹组,1
梅花,王旭,1
梅花,赵长卿,1
梅花,杜甫,2
梅花,朱翌,1
梅花,刘因,1
梅花,刘镇,1
梅花,乔吉,1
梅花,杨无咎,1
梅花,律然,1
梅花,道源,1
梅花,杨朝英,1
梅花,谢燮,1
梅花,查冬荣,1
梅花,真德秀,1
梅花,萧泰来,1
梅花,吴文英,2
梅花,林古度,1
梅花,向子諲,1
梅花,张炎,1
梅花,罗邺,1
梅花,赵令畤,1
梅花,杜牧,1
荷花,周邦彦,1
荷花,李商隐,1
荷花,李璟,1
荷花,贺铸,1
荷花,李白,2
荷花,卢照邻,1
荷花,王昌龄,1
荷花,苏轼,1
荷花,欧阳修,2
荷花,白朴,1
荷花,陆龟蒙,1
荷花,温庭筠,1
荷花,蔡松年,1
荷花,吴师道,1
荷花,元好问,1
荷花,晏几道,3
荷花,杜公瞻,1
荷花,石涛,1
荷花,葛立方,1
荷花,姜夔,1
荷花,辛弃疾,2
荷花,张炎,1
荷花,蒋捷,1
荷花,刘光祖,1
荷花,皇甫松,1
荷花,韩偓,1
荷花,吴文英,4
荷花,曹丕,1
荷花,佚名,1
荷花,沈约,2
荷花,白居易,1
荷花,龚翔麟,1
荷花,刘秉忠,1
荷花,文徵明,1
荷花,尹鹗,1
荷花,阎选,1
荷花,李璟(一说李煜),1
荷花,高观国,1
荷花,范成大,1
荷花,杜衍,1
菊花,郑思肖,1
菊花,元稹,1
菊花,黄巢,2
菊花,岑参,1
菊花,李白,1
菊花,唐寅,1
菊花,陶渊明,2
菊花,赵嘏,1
菊花,白居易,3
菊花,李商隐,3
菊花,江总,1
菊花,张养浩,1
菊花,晏几道,1
菊花,曹雪芹,4
菊花,辛弃疾,2
菊花,朱元璋,1
菊花,韦庄,1
菊花,郑谷,1
菊花,杨万里,1
菊花,张煌言,1
菊花,杜甫,1
菊花,顾太清,1
菊花,王建,1
菊花,朱淑真,1
菊花,佚名,1
菊花,苏轼,1
菊花,司空图,1
菊花,钱时,1
菊花,吴文英,2
菊花,于谦,1
菊花,耶律洪基,1
菊花,丘浚,1
菊花,段克己,1
菊花,胡铨,1
菊花,范成大,1
菊花,王禹偁,1
柳树,贺知章,1
柳树,纳兰性德,3
柳树,周邦彦,2
柳树,晏几道,3
柳树,王之涣,1
柳树,曾巩,1
柳树,佚名,1
柳树,曹雪芹,1
柳树,刘禹锡,3
柳树,杨万里,1
柳树,李商隐,1
柳树,白居易,2
柳树,韩翃,1
柳树,郑文宝,1
柳树,寇准,1
柳树,柳如是,1
柳树,鱼玄机,1
柳树,贺铸,1
柳树,何希尧,1
柳树,陆龟蒙,1
柳树,周紫芝,1
柳树,姜夔,1
柳树,温庭筠,4
柳树,苏轼,1
柳树,柳宗元,1
柳树,李煜,1
柳树,纪映淮,1
柳树,张籍,1
柳树,翁元龙,1
柳树,诗经·小雅·鱼藻之什,1
柳树,惠洪,1
柳树,张先,2
柳树,汪遵,1
柳树,司空曙,1
柳树,牛峤,2
柳树,岑参,1
柳树,周端臣,1
柳树,毛文锡,4
柳树,陈维崧,1
柳树,何逊,1
柳树,赵孟頫,1
柳树,吴文英,1
柳树,高观国,1
柳树,陈克,1
柳树,向子諲,1
柳树,崔护,1
柳树,张泌,1
柳树,朱栴,1
柳树,王建,1
柳树,许德溥,1
柳树,俞益谟,1
柳树,贡性之,1
柳树,杨慎,1
月亮,苏轼,6
月亮,张若虚,1
月亮,李白,12
月亮,张九龄,1
月亮,王建,1
月亮,辛弃疾,3
月亮,杜甫,6
月亮,李商隐,2
月亮,张泌,1
月亮,岑参,1
月亮,诗经·国风·陈风,1
月亮,李清照,2
月亮,吕本中,1
月亮,佚名,2
月亮,于良史,1
月亮,李峤,1
月亮,王庭筠,1
月亮,苏辙,1
月亮,徐有贞,1
月亮,张鸣善,1
月亮,陆游,2
月亮,孟浩然,1
月亮,周邦彦,1
月亮,张养浩,1
月亮,范成大,1
月亮,马致远,1
月亮,谢庄,1
月亮,牛希济,1
月亮,王昌龄,1
月亮,李端,1
月亮,朱淑真,2
月亮,陈亮,1
月亮,曹松,1
月亮,贾岛,1
月亮,王琪,1
月亮,曹雪芹,3
月亮,张孝祥,2
月亮,栖白,1
月亮,杨万里,3
月亮,朱敦儒,1
月亮,陈著,2
月亮,晁端礼,1
月亮,钱起,1
月亮,丘逢甲,1
月亮,纳兰性德,1
月亮,王守仁,1
月亮,李朴,1
月亮,寒山,1
月亮,米芾,1
月亮,权德舆,1
月亮,向子諲,1
月亮,薛涛,1
月亮,朱超,1
月亮,史达祖,1
月亮,宋方壶,1
月亮,白居易,1
月亮,吴承恩,1
月亮,欧阳修,1
月亮,孟昉,1
月亮,齐己,1
月亮,吴文英,1
月亮,崔国辅,1
月亮,骆宾王,1
月亮,郎士元,1
月亮,戎昱,1
月亮,文同,1
山水,李白,12
山水,欧阳修,2
山水,王维,9
山水,郦道元,1
山水,柳宗元,5
山水,吴均,2
山水,白居易,3
山水,刘禹锡,2
山水,杜甫,1
山水,秦观,3
山水,苏轼,9
山水,王安石,4
山水,王勃,1
山水,刘长卿,1
山水,张旭,1
山水,谢灵运,3
山水,谢朓,1
山水,辛弃疾,6
山水,戴叔伦,2
山水,张孝祥,3
山水,于良史,1
山水,曾巩,2
山水,黄庭坚,3
山水,陆游,2
山水,高启,1
山水,温庭筠,1
山水,常建,1
山水,李珣,1
山水,张九龄,1
山水,翁卷,1
山水,梅尧臣,1
山水,裴迪,1
山水,张养浩,1
山水,纪昀,1
山水,储光羲,2
山水,朱敦儒,1
山水,崔颢,1
山水,陈与义,1
山水,孟浩然,2
山水,佚名,1
山水,王炎,1
山水,雍陶,1
山水,韩愈,1
写山,杜甫,5
写山,苏轼,2
写山,王维,3
写山,李白,9
写山,姚鼐,1
写山,毛泽东,4
写山,寇准,1
写山,柳宗元,2
写山,孟郊,2
写山,张耒,1
写山,萧纲,1
写山,韩翃,1
写山,孟浩然,2
写山,李贺,1
写山,张抡,1
写山,郎士元,1
写山,韩愈,2
写山,袁枚,1
写山,谢道韫,1
写山,温庭筠,1
写山,黄庭坚,2
写山,唐毅夫,1
写山,诗经·周颂·清庙之什,1
写山,辛弃疾,1
写山,刘因,2
写山,方干,1
写山,侯文曜,1
写山,章谦亨,1
写山,郑燮,1
写山,王安石,5
写山,周权,1
写山,秘演,1
写山,谢灵运,1
写山,岑参,1
写山,潘阆,2
写山,惠标,1
写山,李世民,1
写山,崔颢,1
写山,王国维,1
写山,元好问,2
写山,令狐楚,1
写山,王守仁,1
写山,张养浩,1
写山,贾岛,1
写山,李商隐,1
写山,纳兰性德,1
写山,韦应物,1
写山,杜牧,1
写山,袁宏道,1
写山,武则天,1
写山,李之仪,1
写山,汪遵,1
写山,周之琦,1
写山,施闰章,1
写山,胡秉正,1
写山,李峤,1
写山,张可久,1
写山,梁联馨,1
写山,归有光,1
写山,卢仝,1
写山,江淹,1
写山,秦观,1
写山,汪承爵,1
写山,魏源,1
写山,郦道元,1
写山,朱彦,1
写山,陆机,1
写山,刘崧,1
写山,老舍,1
写山,徐霞客,1
写水,李白,9
写水,杨万里,6
写水,白居易,1
写水,张孝祥,2
写水,朱熹,1
写水,杜甫,3
写水,苏轼,3
写水,潘阆,1
写水,孟浩然,4
写水,温庭筠,1
写水,欧阳修,4
写水,刘禹锡,3
写水,杜荀鹤,1
写水,谢朓,1
写水,施肩吾,1
写水,辛弃疾,3
写水,汪元量,1
写水,韩愈,3
写水,诗经·国风·唐风,1
写水,周邦彦,1
写水,赵孟頫,2
写水,周密,1
写水,岑参,1
写水,晏殊,1
写水,舒亶,1
写水,纳兰性德,1
写水,王维,1
写水,查慎行,2
写水,皇甫曾,1
写水,张先,1
写水,范成大,2
写水,李群玉,1
写水,韦应物,1
写水,黄机,1
写水,张炎,1
写水,张可久,1
写水,王勃,1
写水,史达祖,1
写水,诗经·鲁颂·駉之什,1
写水,赵善庆,1
写水,王沂孙,1
写水,钱晔,1
写水,袁枚,1
写水,陈与义,1
写水,武则天,1
写水,阴铿,1
写水,皮日休,1
写水,常建,1
写水,戎昱,1
写水,施闰章,1
写水,杨基,1
写水,李百药,1
写水,沈约,1
写水,曹丕,1
写水,刘溥,1
写水,王宷,1
写水,范仲淹,1
写水,王国维,1
写水,王建,1
写水,董士锡,1
写水,吕大防,1
写水,戴复古,1
写水,李梦阳,1
写水,郦道元,2
写水,贾岛,1
写水,袁中道,1
长江,苏轼,1
长江,李白,4
长江,李之仪,1
长江,高启,1
长江,曾公亮,1
长江,张孝祥,1
长江,杜甫,1
长江,张籍,1
长江,李纲,2
长江,崔季卿,1
长江,宋琬,1
长江,杨基,1
黄河,刘禹锡,1
黄河,诗经·国风·卫风,1
黄河,李白,2
黄河,元好问,1
黄河,罗隐,1
黄河,寇准,1
黄河,宋琬,1
黄河,许有壬,1
黄河,李流芳,1
